CentroNv2,Mes Ano,Regiao_IM,Municipio,UF,Transações
L5102-POMPEIA DESEMBARGADOR (1449),2025-01-01,Capital,SÃO PAULO,SP,6703
L5103-ATIBAIA (1454),2025-01-01,Interior,ATIBAIA,SP,13419
L5105-DOM PEDRO I (1457),2025-01-01,RMSP,SANTO ANDRÉ,SP,7595
L5106-GUILHERMINA (1516),2025-01-01,Litoral,PRAIA GRANDE,SP,7590
L5107-MANDAQUI (1521),2025-01-01,Capital,SÃO PAULO,SP,5554
L5108-MOGI DAS CRUZES (1527),2025-01-01,RMSP,MOGI DAS CRUZES,SP,5711
L5109-SANTOS POMPEIA,2025-01-01,Litoral,SANTOS,SP,9081
L5111-VINHEDO,2025-01-01,Interior,VINHEDO,SP,3482
L5112-BAURU,2025-01-01,Interior,BAURU,SP,3160
L5113-ANASTACIO,2025-01-01,Capital,SÃO PAULO,SP,7861
L5114-106 ASA SUL,2025-01-01,DF,BRASÍLIA,DF,4185
L5116-ENSEADA,2025-01-01,Litoral,GUARUJÁ,SP,7108
L5117-NOVA GRANADA,2025-01-01,RMSP,OSASCO,SP,9418
L5118-ARACATUBA,2025-01-01,Interior,ARAÇATUBA,SP,2900
L5119-AGUAS CLARAS (ARAUCARIAS),2025-01-01,DF,BRASÍLIA,DF,6976
L5120-ITU,2025-01-01,Interior,ITU,SP,5522
L5121-VILA MASCOTE,2025-01-01,Capital,SÃO PAULO,SP,9887
L5122-PONTE RASA,2025-01-01,Capital,SÃO PAULO,SP,9927
L5123-SAO VICENTE,2025-01-01,Litoral,SÃO VICENTE,SP,8414
L5124-BOTUCATU,2025-01-01,Interior,BOTUCATU,SP,4663
L5126-CELSO GARCIA,2025-01-01,Capital,SÃO PAULO,SP,8370
L5127-SAO ROQUE,2025-01-01,Interior,SÃO ROQUE,SP,8738
L5129-REAL PARQUE,2025-01-01,Capital,SÃO PAULO,SP,2886
L5130-TUPI,2025-01-01,Litoral,PRAIA GRANDE,SP,9050
L5131-TAUBATE SAO GERALDO,2025-01-01,Interior,TAUBATÉ,SP,5537
L5132-CANTO DO FORTE,2025-01-01,Litoral,PRAIA GRANDE,SP,8212
L5134-GILBERTO SALOMAO,2025-01-01,DF,BRASÍLIA,DF,3624
L5135-402 ASA SUL,2025-01-01,DF,BRASÍLIA,DF,3348
L5136-RIB.PRETO ALTO DA BOA VISTA,2025-01-01,Interior,RIBEIRÃO PRETO,SP,4044
L5138-306 ASA NORTE,2025-01-01,DF,BRASÍLIA,DF,6209
L5139-SBC RUDGE RAMOS,2025-01-01,RMSP,SÃO BERNARDO DO CAMPO,SP,7723
L5140-OSASCO KM 18,2025-01-01,RMSP,OSASCO,SP,8696
L5141-ALTO TAQUARAL,2025-01-01,Interior,CAMPINAS,SP,4604
L5142-MARILIA,2025-01-01,Interior,MARÍLIA,SP,3790
L5143-AQUARIUS,2025-01-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,6590
L5144-EMBU DAS ARTES,2025-01-01,RMSP,EMBU DAS ARTES,SP,7044
L5145-TAMBORE,2025-01-01,RMSP,SANTANA DE PARNAÍBA,SP,3230
L5146-ITATIBA,2025-01-01,Interior,ITATIBA,SP,4615
L5147-ROLAND GARROS,2025-01-01,Capital,SÃO PAULO,SP,5987
L5148-PARQUE DO CARMO,2025-01-01,Capital,SÃO PAULO,SP,7492
L5149-ALTO DA MOOCA,2025-01-01,Capital,SÃO PAULO,SP,9443
L5150-ARARAQUARA,2025-01-01,Interior,ARARAQUARA,SP,4891
L5151-PINDAMONHANGABA,2025-01-01,Interior,PINDAMONHANGABA,SP,3525
L5152-ALTO DA BOA VISTA,2025-01-01,Capital,SÃO PAULO,SP,8092
L5153-EMBARE,2025-01-01,Litoral,SANTOS,SP,12489
L5154-RIO CLARO,2025-01-01,Interior,RIO CLARO,SP,3479
L5155-SUZANO,2025-01-01,RMSP,SUZANO,SP,6314
L5156-JARDIM PRUDENCIA,2025-01-01,Capital,SÃO PAULO,SP,8581
L5158-LEBLON,2025-01-01,RJ,RIO DE JANEIRO,RJ,6100
L5159-COTIA KM 39,2025-01-01,RMSP,COTIA,SP,7271
L5160-GUARATINGUETA,2025-01-01,Interior,GUARATINGUETÁ,SP,5505
L5161-ITANHAEM,2025-01-01,Litoral,ITANHAÉM,SP,9642
L5163-TAQUARI,2025-01-01,DF,BRASÍLIA,DF,4177
L5164-ITAPETININGA,2025-01-01,Interior,ITAPETININGA,SP,4260
L5165-MOGI DAS CRUZES MOGILAR,2025-01-01,RMSP,MOGI DAS CRUZES,SP,5975
L5166-MAIRIPORA,2025-01-01,RMSP,MAIRIPORÃ,SP,9036
L5168-SALTO,2025-01-01,Interior,SALTO,SP,4871
L5169-JACAREI,2025-01-01,Interior,JACAREÍ,SP,6594
L5172-PRESIDENTE PRUDENTE,2025-01-01,Interior,PRESIDENTE PRUDENTE,SP,3892
L5173-PERUIBE,2025-01-01,Litoral,PERUÍBE,SP,8829
L5174-PERI PERI,2025-01-01,Capital,SÃO PAULO,SP,5495
L5175-PARQUE SAO LUCAS,2025-01-01,Capital,SÃO PAULO,SP,8992
L5176-BRAGANCA PAULISTA,2025-01-01,Interior,BRAGANÇA PAULISTA,SP,10692
L5177-FREGUESIA DO O,2025-01-01,Capital,SÃO PAULO,SP,7068
L5178-PERIMETRAL,2025-01-01,RMSP,SANTO ANDRÉ,SP,7138
L5179-VILA YARA,2025-01-01,RMSP,OSASCO,SP,8410
L5180-FREI CANECA,2025-01-01,Capital,SÃO PAULO,SP,8549
L5181-RIBEIRAO PIRES,2025-01-01,RMSP,RIBEIRÃO PIRES,SP,6722
L5182-SAO JOSE DO RIO PRETO (DAMHA),2025-01-01,Interior,SÃO JOSÉ DO RIO PRETO,SP,3891
L5184-PRACA VARNHAGEM,2025-01-01,RJ,RIO DE JANEIRO,RJ,7765
L5185-CLODOMIRO,2025-01-01,Capital,SÃO PAULO,SP,4269
L5186-VILA DAS MERCES,2025-01-01,Capital,SÃO PAULO,SP,7351
L5187-MUTIRAO,2025-01-01,GO,GOIÂNIA,GO,3299
L5188-CAJAMAR,2025-01-01,RMSP,CAJAMAR,SP,8379
L5192-ALPHAVILLE CONDE,2025-01-01,RMSP,BARUERI,SP,6959
L5193-COTIA,2025-01-01,RMSP,COTIA,SP,7047
L5195-LEME,2025-01-01,Interior,LEME,SP,3027
L5197-LIMEIRA,2025-01-01,Interior,LIMEIRA,SP,3812
L5198-VILA RESENDE,2025-01-01,Interior,PIRACICABA,SP,4477
L5199-CASA VERDE,2025-01-01,Capital,SÃO PAULO,SP,6784
L5200-JUVENTUS,2025-01-01,Capital,SÃO PAULO,SP,5556
L5201-ANA COSTA,2025-01-01,Litoral,SANTOS,SP,9493
L5202-VILA CAICARA,2025-01-01,Litoral,PRAIA GRANDE,SP,11266
L5204-ITAQUA,2025-01-01,RMSP,ITAQUAQUECETUBA,SP,5999
L5205-GRANJA KM 26,2025-01-01,RMSP,COTIA,SP,3372
L5206-CACHOEIRINHA,2025-01-01,Capital,SÃO PAULO,SP,4901
L5207-SANTO ANDRE ORATORIO,2025-01-01,RMSP,SANTO ANDRÉ,SP,9190
L5209-ITABERABA,2025-01-01,Capital,SÃO PAULO,SP,7420
L5210-CAMPANELLA,2025-01-01,Capital,SÃO PAULO,SP,8593
L5213-REMEDIOS ONIX,2025-01-01,Capital,SÃO PAULO,SP,6247
L5214-SAO MIGUEL,2025-01-01,Capital,SÃO PAULO,SP,6690
L5215-VILA EMA,2025-01-01,Capital,SÃO PAULO,SP,7037
L5216-UBATUBA,2025-01-01,Litoral,UBATUBA,SP,7374
L5218-PARELHEIROS,2025-01-01,Capital,SÃO PAULO,SP,9536
L5219-AV. ITAQUERA,2025-01-01,Capital,SÃO PAULO,SP,7136
L5220-PLANALTO,2025-01-01,RMSP,SÃO BERNARDO DO CAMPO,SP,4731
L5221-BARUERI (BETHAVILLE),2025-01-01,RMSP,BARUERI,SP,7036
L5223-CAMPO LIMPO,2025-01-01,Capital,SÃO PAULO,SP,12568
L5225-ARUJA,2025-01-01,RMSP,ARUJÁ,SP,6161
L5227-CRUZEIRO,2025-01-01,Interior,CRUZEIRO,SP,5352
L5229-GLAUCIO GIL,2025-01-01,RJ,RIO DE JANEIRO,RJ,7092
L5230-LARGO DO MACHADO,2025-01-01,RJ,RIO DE JANEIRO,RJ,11289
L5231-SOROCABA PANNUNZIO,2025-01-01,Interior,SOROCABA,SP,6581
L5232-PARQUE ECOLOGICO,2025-01-01,Interior,INDAIATUBA,SP,7896
L5233-MONGAGUA,2025-01-01,Litoral,MONGAGUÁ,SP,9490
L5235-LOUVEIRA,2025-01-01,Interior,LOUVEIRA,SP,3671
L5236-JACAREI VILLA BRANCA,2025-01-01,Interior,JACAREÍ,SP,4883
L5237-PAULINIA,2025-01-01,Interior,PAULÍNIA,SP,6539
L5239-CACAPAVA,2025-01-01,Interior,CAÇAPAVA,SP,4372
L5240-BARAO GERALDO,2025-01-01,Interior,CAMPINAS,SP,4936
L5241-ITAPEVI,2025-01-01,RMSP,ITAPEVI,SP,7061
L5242-RECREIO,2025-01-01,RJ,RIO DE JANEIRO,RJ,3383
L5243-MONTE CASTELO,2025-01-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,5085
L5244-TAGUATINGA SUL,2025-01-01,DF,BRASÍLIA,DF,4447
L5245-MAUA 2,2025-01-01,RMSP,MAUÁ,SP,7667
L5246-MALL MULTI GERMINARE,2025-01-01,Capital,SÃO PAULO,SP,9572
L5248-SBC PEREIRA BARRETO,2025-01-01,RMSP,SÃO BERNARDO DO CAMPO,SP,6844
L5249-SANTA TERESINHA,2025-01-01,RMSP,SANTO ANDRÉ,SP,7585
L5250-VILA RICA,2025-01-01,Capital,SÃO PAULO,SP,6812
L5251-JANGADEIROS,2025-01-01,Capital,SÃO PAULO,SP,5774
L5252-14 DE DEZEMBRO,2025-01-01,Interior,JUNDIAÍ,SP,6522
L5253-HORTO,2025-01-01,Capital,SÃO PAULO,SP,5601
L5259-ALL WAYS MALL,2025-01-01,RJ,RIO DE JANEIRO,RJ,4483
L5261-UNIMART,2025-01-01,Interior,CAMPINAS,SP,6771
L5262-URBANOVA,2025-01-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,3323
L5266-MATEO BEI,2025-01-01,Capital,SÃO PAULO,SP,6895
L5267-JAU,2025-01-01,Interior,JAÚ,SP,2316
L5268-TIBURCIO,2025-01-01,Capital,SÃO PAULO,SP,7544
L5272-ILHABELA,2025-01-01,Litoral,ILHABELA,SP,7093
L5273-MORRO GRANDE,2025-01-01,Capital,SÃO PAULO,SP,5584
L5277-VILA CURUCA (NORDESTINA),2025-01-01,Capital,SÃO PAULO,SP,7004
L5278-ITAPECERICA DA SERRA,2025-01-01,RMSP,ITAPECERICA DA SERRA,SP,6354
L5279-BOX CAIEIRAS,2025-01-01,RMSP,CAIEIRAS,SP,4527
L5281-OLIVEIRA FREIRE,2025-01-01,Capital,SÃO PAULO,SP,5398
L5282-PARQUE OLIMPICO,2025-01-01,RJ,RIO DE JANEIRO,RJ,7478
L5283-ALDEIA DA SERRA,2025-01-01,RMSP,BARUERI,SP,4451
L5284-25 DE AGOSTO,2025-01-01,RJ,DUQUE DE CAXIAS,RJ,3917
L5290-SAO LOURENCO,2025-01-01,Litoral,BERTIOGA,SP,0
L5001-RIBEIRAO PRETO (0217),2025-02-01,Interior,RIBEIRÃO PRETO,SP,9074
L5002-ALPHAVILLE (0290),2025-02-01,RMSP,BARUERI,SP,7555
L5003-LINS (0340),2025-02-01,Interior,LINS,SP,6691
L5004-CAMPO BELO (0448),2025-02-01,Capital,SÃO PAULO,SP,6313
L5005-BROOKLIN (0475),2025-02-01,Capital,SÃO PAULO,SP,5972
L5006-MARAJOARA (0487),2025-02-01,Capital,SÃO PAULO,SP,8148
L5007-KLABIN (0496),2025-02-01,Capital,SÃO PAULO,SP,3868
L5008-SCS MAUA (0500),2025-02-01,RMSP,SÃO CAETANO DO SUL,SP,5978
L5009-PIRITUBA (0508),2025-02-01,Capital,SÃO PAULO,SP,7725
L5012-SOROCABA (0527),2025-02-01,Interior,SOROCABA,SP,2586
L5013-GRANJA VIANA (0545),2025-02-01,RMSP,COTIA,SP,5798
L5014-ROUXINOL (0567),2025-02-01,Capital,SÃO PAULO,SP,6479
L5015-BARAO ITAPURA (0570),2025-02-01,Interior,CAMPINAS,SP,4189
L5016-ANDRADINA (0573),2025-02-01,Interior,ANDRADINA,SP,3609
L5017-LEOPOLDINA (0576),2025-02-01,Capital,SÃO PAULO,SP,5029
L5018-MOEMA JURUCE (0584),2025-02-01,Capital,SÃO PAULO,SP,8318
L5019-ANGELICA (0684),2025-02-01,Capital,SÃO PAULO,SP,9042
L5020-VILA MARIANA 2 (0779),2025-02-01,Capital,SÃO PAULO,SP,7429
L5021-VILA SAUDE (0782),2025-02-01,Capital,SÃO PAULO,SP,8548
L5022-SAO CAETANO CENTRO (0811),2025-02-01,RMSP,SÃO CAETANO DO SUL,SP,9397
L5023-JOSE BONIFACIO (0813),2025-02-01,Interior,CAMPINAS,SP,4094
L5024-VALINHOS (0814),2025-02-01,Interior,VALINHOS,SP,7881
L5025-PANAMBY (0817),2025-02-01,Capital,SÃO PAULO,SP,7336
L5026-VILA MARIA (0818),2025-02-01,Capital,SÃO PAULO,SP,5442
L5027-ACLIMACAO (0851),2025-02-01,Capital,SÃO PAULO,SP,8381
L5028-VILA PAULICEIA (0853),2025-02-01,Capital,SÃO PAULO,SP,5389
L5030-SAUDADE (0856),2025-02-01,Interior,CAMPINAS,SP,7189
L5031-PERDIZES (0860),2025-02-01,Capital,SÃO PAULO,SP,7543
L5033-SANTANA (0868),2025-02-01,Capital,SÃO PAULO,SP,3874
L5034-D. PEDRO ll (0873),2025-02-01,RMSP,SANTO ANDRÉ,SP,6656
L5035-TREMEMBE (0875),2025-02-01,Capital,SÃO PAULO,SP,6113
L5037-VILA ROMANA (0880),2025-02-01,Capital,SÃO PAULO,SP,5360
L5038-SAO JOSE DOS CAMPOS (0886),2025-02-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,7414
L5039-ZELINA (1208),2025-02-01,Capital,SÃO PAULO,SP,7491
L5040-GUARULHOS (1211),2025-02-01,RMSP,GUARULHOS,SP,7790
L5041-TAUBATE (1224),2025-02-01,Interior,TAUBATÉ,SP,4532
L5042-IPIRANGA (1237),2025-02-01,Capital,SÃO PAULO,SP,9726
L5043-PORTUGAL (1239),2025-02-01,RMSP,SANTO ANDRÉ,SP,7635
L5044-INDAIATUBA (1243),2025-02-01,Interior,INDAIATUBA,SP,7204
L5045-TATUAPE (1247),2025-02-01,Capital,SÃO PAULO,SP,6972
L5046-VILA CARRAO (1248),2025-02-01,Capital,SÃO PAULO,SP,8097
L5047-SAO BERNARDO (1255),2025-02-01,RMSP,SÃO BERNARDO DO CAMPO,SP,9296
L5048-SJC ANDROMEDA (1261),2025-02-01,Interior,SÃO JOSÉ DOS CAMPOS,SP,5959
L5049-RIB.PRETO INDEPENDENCIA (1266),2025-02-01,Interior,RIBEIRÃO PRETO,SP,3454
L5050-SOROCABA W.LUIZ (1273),2025-02-01,Interior,SOROCABA,SP,5916
L5051-VILA PRUDENTE (1276),2025-02-01,Capital,SÃO PAULO,SP,6337
L5052-PINHEIROS (1277),2025-02-01,Capital,SÃO PAULO,SP,4240
L5053-MORUMBI (1278),2025-02-01,Capital,SÃO PAULO,SP,6584
L5054-PLANALTO (1279),2025-02-01,Capital,SÃO PAULO,SP,6560
L5055-CAMBUCI (1284),2025-02-01,Capital,SÃO PAULO,SP,9662
L5056-PENHA (1285),2025-02-01,Capital,SÃO PAULO,SP,9050
L5057-BOQUEIRAO (1289),2025-02-01,Litoral,SANTOS,SP,8676
L5058-JD. BONFIGLIOLI (1291),2025-02-01,Capital,SÃO PAULO,SP,8557
L5059-TUTOIA (1294),2025-02-01,Capital,SÃO PAULO,SP,6006
L5060-RIVIERA (1300),2025-02-01,Litoral,BERTIOGA,SP,5647
L5061-BOSQUE MAIA (1304),2025-02-01,RMSP,GUARULHOS,SP,5660
L5062-ASSUNCAO (1310),2025-02-01,RMSP,SÃO BERNARDO DO CAMPO,SP,11336
L5063-SAO CAMILO (1311),2025-02-01,RMSP,COTIA,SP,4510
L5064-CHACARA INGLESA (1312),2025-02-01,Capital,SÃO PAULO,SP,7191
L5065-LINS DE VASCONCELOS (1313),2025-02-01,Capital,SÃO PAULO,SP,7067
L5066-CARAPICUIBA (1317),2025-02-01,RMSP,CARAPICUÍBA,SP,5718
L5067-CHACARA ST. ANTONIO (1318),2025-02-01,Capital,SÃO PAULO,SP,6394
L5068-BOSQUE DA SAUDE (1321),2025-02-01,Capital,SÃO PAULO,SP,8542
L5069-AGUA RASA (1322),2025-02-01,Capital,SÃO PAULO,SP,7287
L5070-BORGES LAGOA (1323),2025-02-01,Capital,SÃO PAULO,SP,5000
L5071-BELA VISTA (1326),2025-02-01,Capital,SÃO PAULO,SP,9449
L5072-SERRA DE JAPI (1330),2025-02-01,Capital,SÃO PAULO,SP,7027
L5073-VILA GUILHERME (1331),2025-02-01,Capital,SÃO PAULO,SP,6996
L5074-VOLUNTARIOS DA PATRIA (1335),2025-02-01,Capital,SÃO PAULO,SP,4837
L5076-PIRACICABA (1337),2025-02-01,Interior,PIRACICABA,SP,4875
L5077-OSCAR FREIRE (1341),2025-02-01,Capital,SÃO PAULO,SP,6386
L5078-CAMPO BELO 2 (1342),2025-02-01,Capital,SÃO PAULO,SP,4245
L5081-VILA OLIMPIA (1345),2025-02-01,Capital,SÃO PAULO,SP,4092
L5082-VILA ANDRADE (1346),2025-02-01,Capital,SÃO PAULO,SP,6966
L5083-BARCELONA (1347),2025-02-01,RMSP,SÃO CAETANO DO SUL,SP,5409
L5084-GUAIPA (1349),2025-02-01,Capital,SÃO PAULO,SP,5451
L5086-PORTAL DO MORUMBI (1352),2025-02-01,Capital,SÃO PAULO,SP,10632
L5087-ALBERTO ANDALO (1353),2025-02-01,Interior,SÃO JOSÉ DO RIO PRETO,SP,3917
L5088-PONTA DA PRAIA (1363),2025-02-01,Litoral,SANTOS,SP,10447
L5089-BOA VISTA (1364),2025-02-01,RMSP,SÃO CAETANO DO SUL,SP,7086
L5090-NORTE SUL (1365),2025-02-01,Interior,CAMPINAS,SP,3962
L5091-NOVA CANTAREIRA (1366),2025-02-01,Capital,SÃO PAULO,SP,6561
L5092-VILA AUGUSTA (1374),2025-02-01,RMSP,GUARULHOS,SP,6746
L5093-PERDIZES 2 (1376),2025-02-01,Capital,SÃO PAULO,SP,5873
L5095-VILLA LOBOS (1380),2025-02-01,Capital,SÃO PAULO,SP,3385
L5097-JUNDIAI (1404),2025-02-01,Interior,JUNDIAÍ,SP,5636
L5098-AUTONOMISTAS (1405),2025-02-01,RMSP,OSASCO,SP,8443
L5099-VILA MATILDE (1421),2025-02-01,Capital,SÃO PAULO,SP,9251
L5100-INTERLAGOS (1431),2025-02-01,Capital,SÃO PAULO,SP,6989
L5101-CIDADE SAO FRANCISCO (1432),2025-02-01,Capital,SÃO PAULO,SP,6648
L5102-POMPEIA DESEMBARGADOR (1449),2025-02-01,Capital,SÃO PAULO,SP,6799
L5103-ATIBAIA (1454),2025-02-01,Interior,ATIBAIA,SP,12418
L5105-DOM PEDRO I (1457),2025-02-01,RMSP,SANTO ANDRÉ,SP,7200
L5106-GUILHERMINA (1516),2025-02-01,Litoral,PRAIA GRANDE,SP,6800
L5107-MANDAQUI (1521),2025-02-01,Capital,SÃO PAULO,SP,5432
L5108-MOGI DAS CRUZES (1527),2025-02-01,RMSP,MOGI DAS CRUZES,SP,5740
L5109-SANTOS POMPEIA,2025-02-01,Litoral,SANTOS,SP,8730
L5111-VINHEDO,2025-02-01,Interior,VINHEDO,SP,3356
L5112-BAURU,2025-02-01,Interior,BAURU,SP,2870
L5113-ANASTACIO,2025-02-01,Capital,SÃO PAULO,SP,7632
